module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
K1_string_677,GO:0010608,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of metabolic process,"regulation of macromolecule metabolic process, regulation of biosynthetic process",regulation of macromolecule biosynthetic process,regulation of gene expression,,,,
K1_string_678,GO:0043484,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of metabolic process,"regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process",regulation of macromolecule biosynthetic process,regulation of gene expression,,,,
K1_string_680,GO:0017004,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly",protein-containing complex assembly,,,,,,
K1_string_681,GO:0006839,biological_process,localization,establishment of localization,transport,,,,,,,,
K1_string_682,GO:0046835,biological_process,cellular process,metabolic process,"primary metabolic process, phosphorus metabolic process","phosphate-containing compound metabolic process, carbohydrate metabolic process",phosphorylation,,,,,,
K1_string_687,GO:1902893,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of metabolic process,"regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process","regulation of macromolecule biosynthetic process, regulation of RNA metabolic process, regulation of nucleobase-containing compound metabolic process","regulation of miRNA metabolic process, regulation of gene expression, regulation of RNA biosynthetic process",regulation of DNA-templated transcription,,,
K1_string_688,GO:0044351,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","endocytosis, transport","pinocytosis, import into cell",,,,,,,
K1_string_689,GO:1902857,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","regulation of cellular component biogenesis, regulation of cellular component organization, positive regulation of cellular process","positive regulation of cellular component biogenesis, regulation of cell projection assembly, regulation of organelle organization, regulation of cell projection organization, regulation of organelle assembly, positive regulation of cellular component organization","regulation of plasma membrane bounded cell projection organization, positive regulation of plasma membrane bounded cell projection assembly, positive regulation of organelle organization, positive regulation of organelle assembly, regulation of plasma membrane bounded cell projection assembly, positive regulation of cell projection organization, regulation of cilium assembly","regulation of non-motile cilium assembly, positive regulation of cilium assembly",,,,
K1_string_693,GO:0008380,biological_process,cellular process,metabolic process,primary metabolic process,RNA processing,,,,,,,
K1_string_697,GO:0006281,biological_process,"response to stimulus, cellular process","metabolic process, cellular response to stimulus, response to stress","cellular response to stress, primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, DNA damage response, nucleobase-containing compound metabolic process",DNA metabolic process,,,,,,
K1_string_698,GO:0071174,biological_process,"cellular process, biological regulation","cell cycle process, regulation of biological process, signal transduction","negative regulation of biological process, regulation of cellular process, mitotic cell cycle process, intracellular signal transduction","regulation of cell cycle, negative regulation of cellular process, mitotic cell cycle checkpoint signaling, cell cycle checkpoint signaling","negative regulation of cell cycle, regulation of mitotic cell cycle, spindle checkpoint signaling, regulation of cell cycle process","negative regulation of mitotic cell cycle, negative regulation of cell cycle process, regulation of cell cycle phase transition",negative regulation of cell cycle phase transition,,,,
K1_string_700,GO:0015701,biological_process,localization,establishment of localization,transport,organic anion transport,,,,,,,
K1_string_701,GO:0032511,biological_process,"localization, cellular process","vesicle-mediated transport, cellular localization, establishment of localization","endosomal transport, intracellular transport, late endosome to vacuole transport, transport, multivesicular body sorting pathway, establishment of localization in cell","vacuolar transport, endosome transport via multivesicular body sorting pathway",,,,,,,
K1_string_704,GO:0015914,biological_process,localization,establishment of localization,transport,"organophosphate ester transport, lipid transport",,,,,,,
K1_string_705,GO:0006892,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",,,,,,,,
K1_string_706,GO:0045055,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization, export from cell","secretion by cell, exocytosis, transport",secretion,,,,,,,
K1_string_707,GO:0036503,biological_process,"response to stimulus, cellular process","metabolic process, response to chemical, cellular response to stimulus, response to stress","cellular response to stress, primary metabolic process, catabolic process, response to nitrogen compound, macromolecule metabolic process","response to endoplasmic reticulum stress, macromolecule catabolic process, protein metabolic process","proteolysis, protein catabolic process","proteasomal protein catabolic process, proteolysis involved in protein catabolic process",,,,,
K1_string_714,GO:0036159,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly",protein-containing complex assembly,axonemal dynein complex assembly,,,,,
K1_string_716,GO:0038061,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,,,,,,,
K1_string_722,GO:0031424,biological_process,multicellular organismal process,,,,,,,,,,
K1_string_723,GO:0006402,biological_process,"cellular process, biological regulation","regulation of biological process, metabolic process","primary metabolic process, regulation of cellular process, catabolic process, negative regulation of biological process, macromolecule metabolic process","nucleobase-containing compound metabolic process, macromolecule catabolic process, nucleic acid metabolic process, negative regulation of cellular process, nucleobase-containing compound catabolic process, regulation of metabolic process","nucleic acid catabolic process, regulation of macromolecule metabolic process, RNA metabolic process, negative regulation of metabolic process, regulation of biosynthetic process","negative regulation of biosynthetic process, mRNA metabolic process, RNA catabolic process, negative regulation of macromolecule metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, regulation of gene expression",negative regulation of gene expression,,,
K1_string_724,GO:0043436,biological_process,cellular process,metabolic process,small molecule metabolic process,organic acid metabolic process,,,,,,,
K1_string_725,GO:0009263,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, small molecule metabolic process, carbohydrate derivative metabolic process, phosphorus metabolic process","carbohydrate derivative biosynthetic process, nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, deoxyribonucleotide metabolic process, nucleobase-containing compound biosynthetic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, organophosphate biosynthetic process","nucleoside phosphate metabolic process, nucleoside phosphate biosynthetic process","nucleotide biosynthetic process, nucleotide metabolic process",,,,,
K1_string_726,GO:0051169,biological_process,"localization, cellular process","cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",,,,,,,,
K1_string_730,GO:0046902,biological_process,"cellular process, biological regulation","cellular component organization or biogenesis, regulation of biological quality","cellular component organization, regulation of membrane permeability","organelle organization, membrane organization","mitochondrion organization, mitochondrial membrane organization",,,,,,
K1_string_731,GO:0009298,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, small molecule metabolic process, phosphorus metabolic process, carbohydrate derivative metabolic process","carbohydrate derivative biosynthetic process, nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, nucleotide-sugar metabolic process, nucleobase-containing compound biosynthetic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, organophosphate biosynthetic process","nucleoside phosphate biosynthetic process, nucleotide-sugar biosynthetic process, nucleoside phosphate metabolic process, GDP-mannose metabolic process",,,,,,
K1_string_732,GO:0050747,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, positive regulation of metabolic process","positive regulation of biosynthetic process, regulation of protein metabolic process, positive regulation of macromolecule metabolic process","positive regulation of protein metabolic process, regulation of lipoprotein metabolic process",,,,
K1_string_735,GO:0006599,biological_process,cellular process,metabolic process,"phosphorus metabolic process, modified amino acid metabolic process","organophosphate metabolic process, phosphate-containing compound metabolic process",,,,,,,
K1_string_736,GO:0030206,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, sulfur compound metabolic process, biosynthetic process, macromolecule metabolic process","aminoglycan metabolic process, carbohydrate derivative biosynthetic process, sulfur compound biosynthetic process, macromolecule biosynthetic process, chondroitin sulfate metabolic process","aminoglycan biosynthetic process, glycosaminoglycan metabolic process",glycosaminoglycan biosynthetic process,,,,,
K1_string_739,GO:0000122,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","negative regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, negative regulation of metabolic process","negative regulation of biosynthetic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA metabolic process, negative regulation of macromolecule metabolic process, negative regulation of nucleobase-containing compound metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, negative regulation of RNA metabolic process, regulation of gene expression, regulation of RNA biosynthetic process","negative regulation of RNA biosynthetic process, regulation of DNA-templated transcription","negative regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II",,
K1_string_740,GO:0071391,biological_process,"response to stimulus, cellular process","response to endogenous stimulus, response to chemical, cellular response to stimulus","response to hormone, cellular response to chemical stimulus, cellular response to endogenous stimulus","response to estrogen, cellular response to hormone stimulus",,,,,,,
K1_string_745,GO:0044782,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"organelle organization, cell projection organization",plasma membrane bounded cell projection organization,,,,,,
K1_string_747,GO:0015755,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","carbohydrate transmembrane transport, transport","carbohydrate transport, monosaccharide transmembrane transport",hexose transmembrane transport,,,,,,
K1_string_749,GO:0032446,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,post-translational protein modification,protein modification by small protein conjugation or removal,,,,
K1_string_752,GO:0006325,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,,,,,,,,
K1_string_753,GO:0015012,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, carbohydrate derivative metabolic process, sulfur compound metabolic process, macromolecule metabolic process","carbohydrate derivative biosynthetic process, heparan sulfate proteoglycan metabolic process, sulfur compound biosynthetic process, macromolecule biosynthetic process, protein metabolic process, glycoprotein metabolic process","glycoprotein biosynthetic process, proteoglycan metabolic process",proteoglycan biosynthetic process,,,,,
K1_string_757,GO:1901137,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, biosynthetic process",,,,,,,,
K1_string_758,GO:0009100,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, macromolecule metabolic process",protein metabolic process,,,,,,,
K1_string_763,GO:0006096,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, catabolic process, small molecule metabolic process, generation of precursor metabolites and energy, pyridine-containing compound metabolic process, carbohydrate derivative metabolic process, phosphorus metabolic process","organophosphate catabolic process, ribose phosphate metabolic process, nucleobase-containing compound metabolic process, carbohydrate metabolic process, phosphate-containing compound metabolic process, organic acid metabolic process, pyridine nucleotide metabolic process, nucleobase-containing compound catabolic process, organophosphate metabolic process, carbohydrate catabolic process, nucleobase-containing small molecule metabolic process, pyridine-containing compound catabolic process, purine-containing compound catabolic process, purine nucleotide metabolic process, carbohydrate derivative catabolic process","nucleoside phosphate catabolic process, nicotinamide nucleotide metabolic process, ribonucleotide metabolic process, oxoacid metabolic process, pyridine nucleotide catabolic process, nucleoside phosphate metabolic process, purine nucleotide catabolic process, ribonucleotide catabolic process, purine ribonucleotide metabolic process","ATP metabolic process, nucleotide metabolic process, purine ribonucleotide catabolic process, nucleoside diphosphate catabolic process, nucleoside triphosphate metabolic process, nucleoside diphosphate metabolic process, nucleotide catabolic process, carboxylic acid metabolic process, ADP metabolic process","monocarboxylic acid metabolic process, purine nucleoside diphosphate catabolic process, ribonucleoside triphosphate metabolic process, ribonucleoside diphosphate metabolic process, ribonucleoside diphosphate catabolic process, ADP catabolic process, purine nucleoside triphosphate metabolic process, purine nucleoside diphosphate metabolic process","purine ribonucleoside diphosphate metabolic process, pyruvate metabolic process, purine ribonucleoside triphosphate metabolic process, purine ribonucleoside diphosphate catabolic process",,,
K1_string_766,GO:1904262,biological_process,biological regulation,regulation of biological process,"regulation of signaling, negative regulation of biological process, regulation of cellular process, regulation of response to stimulus","negative regulation of cellular process, regulation of cell communication, regulation of signal transduction, negative regulation of signaling, negative regulation of response to stimulus","regulation of intracellular signal transduction, negative regulation of cell communication, negative regulation of signal transduction","regulation of TOR signaling, negative regulation of intracellular signal transduction","regulation of TORC1 signaling, negative regulation of TOR signaling",,,,
K1_string_771,GO:0009101,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, biosynthetic process, macromolecule metabolic process","macromolecule biosynthetic process, carbohydrate derivative biosynthetic process, glycoprotein metabolic process, protein metabolic process",,,,,,,
K1_string_772,GO:0055064,biological_process,homeostatic process,chemical homeostasis,"monoatomic ion homeostasis, inorganic ion homeostasis",monoatomic anion homeostasis,,,,,,,
K1_string_774,GO:0046942,biological_process,localization,establishment of localization,transport,"organic anion transport, organic acid transport",,,,,,,
K1_string_778,GO:0019752,biological_process,cellular process,metabolic process,small molecule metabolic process,organic acid metabolic process,oxoacid metabolic process,,,,,,
K1_string_788,GO:0099587,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","inorganic ion transmembrane transport, transport, import across plasma membrane",import into cell,,,,,,,
K1_string_791,GO:0006400,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, macromolecule modification, nucleobase-containing compound metabolic process, RNA processing","RNA metabolic process, tRNA processing, RNA modification",tRNA metabolic process,,,,,
K1_string_792,GO:0006046,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, catabolic process","amino sugar metabolic process, carbohydrate derivative catabolic process","glucosamine-containing compound metabolic process, amino sugar catabolic process","N-acetylglucosamine metabolic process, glucosamine-containing compound catabolic process",,,,,
K1_string_795,GO:0006688,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, biosynthetic process","lipid metabolic process, lipid biosynthetic process, liposaccharide metabolic process, carbohydrate derivative biosynthetic process","membrane lipid metabolic process, membrane lipid biosynthetic process, glycolipid biosynthetic process, glycolipid metabolic process","glycosphingolipid metabolic process, sphingolipid metabolic process, sphingolipid biosynthetic process",,,,,
K1_string_798,GO:0010273,biological_process,detoxification,detoxification of inorganic compound,,,,,,,,,
K1_string_801,GO:0061919,biological_process,cellular process,,,,,,,,,,
K1_string_802,GO:0010466,biological_process,biological regulation,"regulation of biological process, regulation of molecular function","regulation of catalytic activity, regulation of cellular process, negative regulation of biological process, negative regulation of molecular function","regulation of hydrolase activity, negative regulation of cellular process, negative regulation of catalytic activity, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, negative regulation of metabolic process, negative regulation of hydrolase activity, regulation of peptidase activity","regulation of protein metabolic process, negative regulation of macromolecule metabolic process","regulation of proteolysis, negative regulation of protein metabolic process",negative regulation of proteolysis,,,
K1_string_803,GO:1903034,biological_process,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,,,,,,,
K1_string_804,GO:0051918,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","regulation of hemostasis, regulation of multicellular organismal process, regulation of body fluid levels, positive regulation of biological process, regulation of response to stimulus, negative regulation of biological process","positive regulation of response to stimulus, regulation of response to external stimulus, regulation of blood coagulation, positive regulation of hemostasis, positive regulation of multicellular organismal process, regulation of coagulation, regulation of response to stress","positive regulation of response to wounding, positive regulation of coagulation, positive regulation of response to external stimulus, regulation of fibrinolysis, positive regulation of blood coagulation, regulation of response to wounding","regulation of wound healing, positive regulation of wound healing",,,,,
K1_string_805,GO:0008037,biological_process,cellular process,,,,,,,,,,
K1_string_807,GO:0006506,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, phosphorus metabolic process, primary metabolic process, biosynthetic process","lipid biosynthetic process, carbohydrate derivative biosynthetic process, phosphate-containing compound metabolic process, liposaccharide metabolic process, organophosphate metabolic process, lipid metabolic process, organophosphate biosynthetic process","phospholipid biosynthetic process, glycolipid metabolic process, glycerolipid metabolic process, membrane lipid biosynthetic process, glycolipid biosynthetic process, membrane lipid metabolic process, phospholipid metabolic process, glycerolipid biosynthetic process","glycerophospholipid metabolic process, GPI anchor metabolic process, glycerophospholipid biosynthetic process","phosphatidylinositol metabolic process, phosphatidylinositol biosynthetic process",,,,
K1_string_808,GO:0062196,biological_process,"cellular process, biological regulation","cellular component organization or biogenesis, regulation of biological quality","cellular component organization, regulation of anatomical structure size",regulation of cellular component size,,,,,,,
K1_string_811,GO:0061919,biological_process,cellular process,,,,,,,,,,
K1_string_812,GO:0051016,biological_process,"cellular process, biological regulation","cellular component organization or biogenesis, regulation of biological process, regulation of biological quality","cellular component organization, regulation of cellular process, negative regulation of biological process, regulation of anatomical structure size","regulation of cellular component organization, regulation of cellular component size, negative regulation of cellular process, regulation of cellular component biogenesis, regulation of actin filament-based process","regulation of protein-containing complex disassembly, regulation of supramolecular fiber organization, regulation of organelle organization, regulation of actin cytoskeleton organization, negative regulation of cellular component organization, regulation of actin filament length, regulation of protein-containing complex assembly","regulation of protein depolymerization, negative regulation of protein-containing complex disassembly, regulation of actin filament organization, regulation of actin polymerization or depolymerization, regulation of cytoskeleton organization, negative regulation of supramolecular fiber organization, regulation of protein polymerization, negative regulation of organelle organization, negative regulation of protein-containing complex assembly","negative regulation of protein polymerization, regulation of actin filament depolymerization, negative regulation of actin filament polymerization, negative regulation of cytoskeleton organization, negative regulation of protein depolymerization, regulation of actin filament polymerization, negative regulation of actin filament depolymerization",actin filament capping,,,
K1_string_816,GO:0050995,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","negative regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of catabolic process, negative regulation of metabolic process","negative regulation of lipid metabolic process, regulation of lipid metabolic process, regulation of lipid catabolic process, negative regulation of catabolic process",,,,,
K1_string_818,GO:0060314,biological_process,biological regulation,"regulation of biological process, regulation of molecular function","regulation of localization, regulation of cellular process, regulation of transporter activity","regulation of transmembrane transport, regulation of sequestering of calcium ion, regulation of transmembrane transporter activity, regulation of transport","regulation of monoatomic ion transmembrane transporter activity, regulation of monoatomic ion transport, regulation of monoatomic ion transmembrane transport, regulation of release of sequestered calcium ion into cytosol","regulation of metal ion transport, regulation of calcium ion transmembrane transporter activity, regulation of cation channel activity, regulation of monoatomic cation transmembrane transport","regulation of calcium ion transport, regulation of calcium ion transmembrane transport",,,,
K1_string_819,GO:0006098,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, small molecule metabolic process, generation of precursor metabolites and energy, pyridine-containing compound metabolic process, carbohydrate derivative metabolic process, phosphorus metabolic process","NADPH regeneration, nucleobase-containing compound metabolic process, glucose 6-phosphate metabolic process, phosphate-containing compound metabolic process, pyridine nucleotide metabolic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, purine nucleotide metabolic process","nicotinamide nucleotide metabolic process, NADP metabolic process, nucleoside phosphate metabolic process",nucleotide metabolic process,,,,,
K1_string_820,GO:0043648,biological_process,cellular process,metabolic process,small molecule metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,,,,,
K1_string_822,GO:0015012,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, carbohydrate derivative metabolic process, sulfur compound metabolic process, macromolecule metabolic process","carbohydrate derivative biosynthetic process, heparan sulfate proteoglycan metabolic process, sulfur compound biosynthetic process, macromolecule biosynthetic process, protein metabolic process, glycoprotein metabolic process","glycoprotein biosynthetic process, proteoglycan metabolic process",proteoglycan biosynthetic process,,,,,
K1_string_823,GO:0006506,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, phosphorus metabolic process, primary metabolic process, biosynthetic process","lipid biosynthetic process, carbohydrate derivative biosynthetic process, phosphate-containing compound metabolic process, liposaccharide metabolic process, organophosphate metabolic process, lipid metabolic process, organophosphate biosynthetic process","phospholipid biosynthetic process, glycolipid metabolic process, glycerolipid metabolic process, membrane lipid biosynthetic process, glycolipid biosynthetic process, membrane lipid metabolic process, phospholipid metabolic process, glycerolipid biosynthetic process","glycerophospholipid metabolic process, GPI anchor metabolic process, glycerophospholipid biosynthetic process","phosphatidylinositol metabolic process, phosphatidylinositol biosynthetic process",,,,
K1_string_825,GO:0031113,biological_process,biological regulation,regulation of biological process,regulation of cellular process,"regulation of cellular component biogenesis, regulation of cellular component organization, regulation of microtubule-based process","regulation of organelle organization, regulation of microtubule cytoskeleton organization, regulation of supramolecular fiber organization, regulation of protein-containing complex assembly","regulation of microtubule polymerization or depolymerization, regulation of protein polymerization, regulation of cytoskeleton organization",,,,,
K1_string_826,GO:0045109,biological_process,cellular process,"cellular component organization or biogenesis, intermediate filament-based process","cellular component organization, intermediate filament cytoskeleton organization","organelle organization, supramolecular fiber organization",cytoskeleton organization,,,,,,
K1_string_827,GO:0015711,biological_process,localization,establishment of localization,transport,,,,,,,,
K1_string_828,GO:0002088,biological_process,developmental process,anatomical structure development,,,,,,,,,
K1_string_830,GO:0050974,biological_process,response to stimulus,"detection of stimulus, response to abiotic stimulus, response to external stimulus","detection of stimulus involved in sensory perception, response to mechanical stimulus, detection of external stimulus, detection of abiotic stimulus",detection of mechanical stimulus,,,,,,,
K1_string_832,GO:0062111,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","inorganic ion transmembrane transport, transport, monoatomic ion transmembrane transport","inorganic cation transmembrane transport, monoatomic cation transmembrane transport, monoatomic ion transport","monoatomic cation transport, zinc ion transmembrane transport",metal ion transport,transition metal ion transport,zinc ion transport,,,
K1_string_835,GO:0060167,biological_process,biological regulation,regulation of biological process,"regulation of signaling, regulation of cellular process, regulation of response to stimulus","regulation of signal transduction, regulation of cell communication",regulation of G protein-coupled receptor signaling pathway,,,,,,
K1_string_836,GO:0009100,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, macromolecule metabolic process",protein metabolic process,,,,,,,
K1_string_837,GO:0046942,biological_process,localization,establishment of localization,transport,"organic anion transport, organic acid transport",,,,,,,
K1_string_839,GO:0016338,biological_process,cellular process,cell adhesion,cell-cell adhesion,cell-cell adhesion via plasma-membrane adhesion molecules,,,,,,,
K1_string_848,GO:0030166,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, biosynthetic process, macromolecule metabolic process","macromolecule biosynthetic process, carbohydrate derivative biosynthetic process, glycoprotein metabolic process, protein metabolic process","glycoprotein biosynthetic process, proteoglycan metabolic process",,,,,,
K1_string_849,GO:0010524,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","positive regulation of cytosolic calcium ion concentration, regulation of cellular process, regulation of localization, positive regulation of biological process, regulation of calcium ion transport into cytosol","regulation of transmembrane transport, regulation of cellular localization, positive regulation of transport, regulation of transport, positive regulation of cellular process","positive regulation of transmembrane transport, regulation of monoatomic ion transport, positive regulation of monoatomic ion transport, regulation of monoatomic ion transmembrane transport","regulation of metal ion transport, positive regulation of monoatomic ion transmembrane transport, positive regulation of calcium ion transport, regulation of monoatomic cation transmembrane transport","regulation of calcium ion transport, positive regulation of calcium ion transmembrane transport, positive regulation of cation transmembrane transport, regulation of calcium ion transmembrane transport",,,,
K1_string_850,GO:0002486,biological_process,immune system process,antigen processing and presentation,"antigen processing and presentation of endogenous antigen, antigen processing and presentation of peptide antigen","antigen processing and presentation of peptide antigen via MHC class I, antigen processing and presentation of endogenous peptide antigen",antigen processing and presentation of endogenous peptide antigen via MHC class I,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,,,,,
K1_string_851,GO:1990349,biological_process,"localization, cellular process","intercellular transport, establishment of localization",transport,,,,,,,,
K1_string_855,GO:0015862,biological_process,"localization, cellular process","transmembrane transport, establishment of localization","pyrimidine-containing compound transmembrane transport, nucleoside transmembrane transport, transport","carbohydrate derivative transport, nitrogen compound transport","nucleoside transport, nucleobase-containing compound transport",pyrimidine nucleoside transport,,,,,
K1_string_861,GO:0060271,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component assembly, organelle organization, cell projection organization","organelle assembly, cell projection assembly, cilium organization, plasma membrane bounded cell projection organization",plasma membrane bounded cell projection assembly,,,,,
K1_string_862,GO:0006688,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, biosynthetic process","lipid metabolic process, lipid biosynthetic process, liposaccharide metabolic process, carbohydrate derivative biosynthetic process","membrane lipid metabolic process, membrane lipid biosynthetic process, glycolipid biosynthetic process, glycolipid metabolic process","glycosphingolipid metabolic process, sphingolipid metabolic process, sphingolipid biosynthetic process",,,,,
M1_cpdb_1,GO:0140053,biological_process,cellular process,metabolic process,"biosynthetic process, macromolecule metabolic process",macromolecule biosynthetic process,gene expression,,,,,,
M1_cpdb_3,GO:0007200,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","G protein-coupled receptor signaling pathway, regulation of cellular process",,,,,,,,
M1_cpdb_4,GO:0030509,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein serine/threonine kinase signaling pathway,transforming growth factor beta receptor superfamily signaling pathway,,,,,
M1_cpdb_6,GO:0009060,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,
M1_cpdb_7,GO:0009755,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process",regulation of cellular process,,,,,,,,
M1_cpdb_8,GO:0042730,biological_process,biological regulation,"regulation of biological process, regulation of biological quality","regulation of hemostasis, regulation of multicellular organismal process, regulation of body fluid levels, regulation of response to stimulus, negative regulation of biological process","regulation of response to external stimulus, regulation of blood coagulation, regulation of coagulation, negative regulation of multicellular organismal process, negative regulation of hemostasis, regulation of response to stress, negative regulation of response to stimulus","negative regulation of blood coagulation, negative regulation of response to wounding, negative regulation of response to external stimulus, negative regulation of coagulation, regulation of response to wounding","regulation of wound healing, negative regulation of wound healing",,,,,
M1_cpdb_9,GO:0016567,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,post-translational protein modification,protein modification by small protein conjugation or removal,protein modification by small protein conjugation,,,
M1_cpdb_10,GO:0000122,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","negative regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, negative regulation of metabolic process","negative regulation of biosynthetic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA metabolic process, negative regulation of macromolecule metabolic process, negative regulation of nucleobase-containing compound metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, negative regulation of RNA metabolic process, regulation of gene expression, regulation of RNA biosynthetic process","negative regulation of RNA biosynthetic process, regulation of DNA-templated transcription","negative regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II",,
M1_cpdb_11,GO:0000045,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component assembly, organelle organization","organelle assembly, vacuole organization",autophagosome organization,,,,,
M1_cpdb_12,GO:0018149,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,,,,,,
M1_cpdb_14,GO:0030203,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, macromolecule metabolic process",aminoglycan metabolic process,,,,,,,
M1_cpdb_15,GO:0002224,biological_process,"cellular process, immune system process, biological regulation","signal transduction, activation of immune response, regulation of biological process","regulation of cellular process, activation of innate immune response, immune response-activating signaling pathway, regulation of immune system process, immune response-regulating signaling pathway, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of response to external stimulus, regulation of immune response, regulation of response to biotic stimulus, positive regulation of immune system process, regulation of response to stress, innate immune response-activating signaling pathway","regulation of defense response, positive regulation of immune response, regulation of innate immune response, positive regulation of response to external stimulus, positive regulation of response to biotic stimulus, pattern recognition receptor signaling pathway, positive regulation of defense response",positive regulation of innate immune response,,,,,
