module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
K1_string_457,R-HSA-8856828,Vesicle-mediated transport,Membrane Trafficking,Clathrin-mediated endocytosis,,,,,,
K1_string_458,R-HSA-5674499,Signal Transduction,MAPK family signaling cascades,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,Negative regulation of MAPK pathway,Negative feedback regulation of MAPK pathway,,,
K1_string_468,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
K1_string_472,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_string_475,R-HSA-3371568,Cellular responses to stimuli,Cellular responses to stress,Cellular response to heat stress,HSF1-dependent transactivation,Attenuation phase,,,,
K1_string_482,R-HSA-936837,Transport of small molecules,Ion channel transport,Ion transport by P-type ATPases,,,,,,
K1_string_485,R-HSA-9603798,Protein localization,Class I peroxisomal membrane protein import,,,,,,,
K1_string_486,R-HSA-162791,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Attachment of GPI anchor to uPAR,,,,,
K1_string_487,R-HSA-428643,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Organic anion transporters,,,,,
K1_string_488,R-HSA-426117,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Cation-coupled Chloride cotransporters,,,,,
K1_string_495,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
K1_string_496,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
K1_string_497,R-HSA-1474244,Extracellular matrix organization,,,,,,,,
K1_string_498,R-HSA-1462054,Immune System,Innate Immune System,Antimicrobial peptides,Defensins,Alpha-defensins,,,,
K1_string_499,R-HSA-3000497,Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,Scavenging by Class H Receptors,,,,,,
K1_string_502,R-HSA-1250342,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by ERBB4,PI3K events in ERBB4 signaling,,,,,
K1_string_504,R-HSA-6782315,Metabolism of RNA,tRNA processing,tRNA modification in the nucleus and cytosol,,,,,,
K1_string_505,R-HSA-8868773,Metabolism of RNA,rRNA processing,rRNA processing in the nucleus and cytosol,,,,,,
K1_string_506,R-HSA-167826,Metabolism,Aerobic respiration and respiratory electron transport,Mitochondrial Uncoupling,The fatty acid cycling model,,,,,
K1_string_509,R-HSA-420029,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Tight junction interactions,,,,,
K1_string_512,R-HSA-382556,Transport of small molecules,ABC-family proteins mediated transport,,,,,,,
K1_string_515,R-HSA-210744,Developmental Biology,Regulation of beta-cell development,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,,,,,,
K1_string_516,R-HSA-909733,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,,,,,
K1_string_517,R-HSA-168188,Immune System,Innate Immune System,Toll-like Receptor Cascades,Toll Like Receptor 2 (TLR2) Cascade,Toll Like Receptor TLR6:TLR2 Cascade,,,,
K1_string_518,R-HSA-5357956,Signal Transduction,Death Receptor Signaling,TNF signaling,TNFR1-induced NF-kappa-B signaling pathway,,,,,
K1_string_523,R-HSA-351202,Metabolism,Metabolism of amino acids and derivatives,Metabolism of polyamines,,,,,,
K1_string_529,R-HSA-2691230,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by NOTCH1 in Cancer,Signaling by NOTCH1 HD Domain Mutants in Cancer,,,,,
K1_string_535,R-HSA-70326,Metabolism,Metabolism of carbohydrates,Glucose metabolism,,,,,,
K1_string_536,R-HSA-3065676,Metabolism of proteins,Post-translational protein modification,SUMOylation,Processing and activation of SUMO,SUMO is conjugated to E1 (UBA2:SAE1),,,,
K1_string_547,R-HSA-75105,Metabolism,Metabolism of lipids,Fatty acid metabolism,Fatty acyl-CoA biosynthesis,,,,,
K1_string_549,R-HSA-192105,Metabolism,Metabolism of lipids,Metabolism of steroids,Bile acid and bile salt metabolism,Synthesis of bile acids and bile salts,,,,
K1_string_550,R-HSA-382556,Transport of small molecules,ABC-family proteins mediated transport,,,,,,,
K1_string_551,R-HSA-1566948,Extracellular matrix organization,Elastic fibre formation,,,,,,,
K1_string_556,R-HSA-4420097,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by VEGF,VEGFA-VEGFR2 Pathway,,,,,
K1_string_557,R-HSA-5637810,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by EGFR in Cancer,Signaling by EGFRvIII in Cancer,Constitutive Signaling by EGFRvIII,,,,
K1_string_560,R-HSA-8978868,Metabolism,Metabolism of lipids,Fatty acid metabolism,,,,,,
K1_string_561,R-HSA-4641263,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Regulation of FZD by ubiquitination,,,,,
K1_string_562,R-HSA-9013149,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RAC1 GTPase cycle,,,,
K1_string_566,R-HSA-432047,Transport of small molecules,Aquaporin-mediated transport,Passive transport by Aquaporins,,,,,,
K1_string_567,R-HSA-350054,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Notch-HLH transcription pathway,,,,,
K1_string_568,R-HSA-9648895,Cellular responses to stimuli,Cellular responses to stress,Response of EIF2AK1 (HRI) to heme deficiency,,,,,,
K1_string_570,R-HSA-5674400,Disease,Diseases of signal transduction by growth factor receptors and second messengers,PI3K/AKT Signaling in Cancer,Constitutive Signaling by AKT1 E17K in Cancer,,,,,
K1_string_574,R-HSA-6799990,Immune System,Innate Immune System,Antimicrobial peptides,Metal sequestration by antimicrobial proteins,,,,,
K1_string_580,R-HSA-2395516,Metabolism,Mitochondrial iron-sulfur cluster biogenesis,Electron transport from NADPH to Ferredoxin,,,,,,
K1_string_597,R-HSA-1474244,Extracellular matrix organization,,,,,,,,
K1_string_598,R-HSA-1592389,Extracellular matrix organization,Degradation of the extracellular matrix,Activation of Matrix Metalloproteinases,,,,,,
K1_string_599,R-HSA-166786,Immune System,Innate Immune System,Complement cascade,Initial triggering of complement,Creation of C4 and C2 activators,,,,
K1_string_601,R-HSA-5658034,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Hh mutants abrogate ligand secretion,HHAT G278V doesn't palmitoylate Hh-Np,,,,,
K1_string_602,R-HSA-426486,Gene expression (Transcription),Gene Silencing by RNA,Small interfering RNA (siRNA) biogenesis,,,,,,
K1_string_603,R-HSA-379724,Metabolism of proteins,Translation,tRNA Aminoacylation,,,,,,
K1_string_607,R-HSA-6794362,Neuronal System,Protein-protein interactions at synapses,,,,,,,
K1_string_609,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
K1_string_612,R-HSA-428157,Metabolism,Metabolism of lipids,Sphingolipid metabolism,,,,,,
K1_string_614,R-HSA-8941326,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX2,RUNX2 regulates bone development,,,,
K1_string_616,R-HSA-8951664,Metabolism of proteins,Post-translational protein modification,Neddylation,,,,,,
K1_string_630,R-HSA-2672351,Transport of small molecules,Ion channel transport,Stimuli-sensing channels,,,,,,
K1_string_633,R-HSA-83936,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of vitamins, nucleosides, and related molecules",Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,,,,,
K1_string_634,R-HSA-425986,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Sodium/Proton exchangers,,,,,
K1_string_638,R-HSA-3359463,Disease,Diseases of metabolism,Defects in vitamin and cofactor metabolism,Defects in cobalamin (B12) metabolism,Defective CUBN causes MGA1,,,,
K1_string_639,R-HSA-166658,Immune System,Innate Immune System,Complement cascade,,,,,,
K1_string_640,R-HSA-1592389,Extracellular matrix organization,Degradation of the extracellular matrix,Activation of Matrix Metalloproteinases,,,,,,
K1_string_643,R-HSA-163210,Metabolism,Aerobic respiration and respiratory electron transport,Formation of ATP by chemiosmotic coupling,,,,,,
K1_string_645,R-HSA-877300,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon gamma signaling,,,,,
K1_string_646,R-HSA-5688426,Metabolism of proteins,Post-translational protein modification,Deubiquitination,,,,,,
K1_string_650,R-HSA-9648002,Signal Transduction,MAPK family signaling cascades,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,RAS processing,,,,
K1_string_651,R-HSA-3108232,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,,,,,
K1_string_654,R-HSA-168898,Immune System,Innate Immune System,Toll-like Receptor Cascades,,,,,,
K1_string_658,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_string_665,R-HSA-3299685,Cellular responses to stimuli,Cellular responses to stress,Cellular response to chemical stress,Detoxification of Reactive Oxygen Species,,,,,
K1_string_668,R-HSA-425393,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,,,,,,
K1_string_669,R-HSA-418359,Hemostasis,Platelet homeostasis,Platelet calcium homeostasis,Reduction of cytosolic Ca++ levels,,,,,
K1_string_670,R-HSA-196780,Metabolism,Metabolism of vitamins and cofactors,Metabolism of water-soluble vitamins and cofactors,Biotin transport and metabolism,,,,,
K1_string_672,R-HSA-9648002,Signal Transduction,MAPK family signaling cascades,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,RAS processing,,,,
K1_string_675,R-HSA-198933,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,,,,,
K1_string_680,R-HSA-1428517,Metabolism,Aerobic respiration and respiratory electron transport,,,,,,,
K1_string_681,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
K1_string_682,R-HSA-70171,Metabolism,Metabolism of carbohydrates,Glucose metabolism,Glycolysis,,,,,
K1_string_687,R-HSA-9617828,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,FOXO-mediated transcription,FOXO-mediated transcription of cell cycle genes,,,,
K1_string_688,R-HSA-171007,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Signalling to ERKs,Signalling to RAS,p38MAPK events,,
K1_string_697,R-HSA-73894,DNA Repair,,,,,,,,
K1_string_700,R-HSA-425381,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Bicarbonate transporters,,,,,
K1_string_706,R-HSA-9022927,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by MECP2,MECP2 regulates transcription of genes involved in GABA signaling,,,,
K1_string_707,R-HSA-901042,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Calnexin/calreticulin cycle,,,,
K1_string_711,R-HSA-209931,Metabolism,Metabolism of amino acids and derivatives,Metabolism of amine-derived hormones,Serotonin and melatonin biosynthesis,,,,,
K1_string_716,R-HSA-3134963,Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,,,,,
K1_string_726,R-HSA-3065679,Metabolism of proteins,Post-translational protein modification,SUMOylation,Processing and activation of SUMO,SUMO is proteolytically processed,,,,
K1_string_728,R-HSA-2206281,Disease,Diseases of metabolism,Diseases of carbohydrate metabolism,Mucopolysaccharidoses,,,,,
K1_string_731,R-HSA-446205,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Synthesis of substrates in N-glycan biosythesis,Synthesis of GDP-mannose,,,
K1_string_736,R-HSA-2022870,Metabolism,Metabolism of carbohydrates,Glycosaminoglycan metabolism,Chondroitin sulfate/dermatan sulfate metabolism,Chondroitin sulfate biosynthesis,,,,
K1_string_745,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
K1_string_746,R-HSA-141444,Cell Cycle,Cell Cycle Checkpoints,Mitotic Spindle Checkpoint,Amplification of signal from the kinetochores,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,,,,
K1_string_757,R-HSA-1630316,Metabolism,Metabolism of carbohydrates,Glycosaminoglycan metabolism,,,,,,
K1_string_758,R-HSA-3878781,Disease,Diseases of metabolism,Diseases of carbohydrate metabolism,Glycogen storage diseases,Glycogen storage disease type IV (GBE1),,,,
K1_string_763,R-HSA-70263,Metabolism,Metabolism of carbohydrates,Glucose metabolism,Gluconeogenesis,,,,,
K1_string_764,R-HSA-444821,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Relaxin receptors,,,
K1_string_766,R-HSA-9639288,Cellular responses to stimuli,Cellular responses to stress,Cellular response to starvation,Amino acids regulate mTORC1,,,,,
K1_string_772,R-HSA-426117,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Cation-coupled Chloride cotransporters,,,,,
K1_string_773,R-HSA-8863678,Disease,Diseases of programmed cell death,Defective Intrinsic Pathway for Apoptosis,Neurodegenerative Diseases,,,,,
K1_string_775,R-HSA-9840309,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Glycosphingolipid metabolism,Glycosphingolipid biosynthesis,,,,
K1_string_778,R-HSA-3371599,Disease,Diseases of metabolism,Defects in vitamin and cofactor metabolism,Defects in biotin (Btn) metabolism,Defective HLCS causes multiple carboxylase deficiency,,,,
K1_string_779,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
K1_string_781,R-HSA-9733458,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,Late SARS-CoV-2 Infection Events,Induction of Cell-Cell Fusion,,
K1_string_788,R-HSA-5578775,Muscle contraction,Cardiac conduction,Ion homeostasis,,,,,,
K1_string_791,R-HSA-72731,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,Recycling of eIF2:GDP,,,,
K1_string_795,R-HSA-975577,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,N-glycan antennae elongation in the medial/trans-Golgi,N-Glycan antennae elongation,,,
K1_string_796,R-HSA-2980767,Cell Cycle,"Cell Cycle, Mitotic",M Phase,Mitotic Prophase,Nuclear Envelope Breakdown,"Activation of NIMA Kinases NEK9, NEK6, NEK7",,,
K1_string_798,R-HSA-5661231,Cellular responses to stimuli,Response to metal ions,Metallothioneins bind metals,,,,,,
K1_string_799,R-HSA-1483191,Metabolism,Metabolism of lipids,Phospholipid metabolism,Glycerophospholipid biosynthesis,Synthesis of PC,,,,
K1_string_802,R-HSA-6798695,Immune System,Innate Immune System,Neutrophil degranulation,,,,,,
K1_string_803,R-HSA-381426,Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,,,,,,
K1_string_807,R-HSA-162710,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Synthesis of glycosylphosphatidylinositol (GPI),,,,,
K1_string_816,R-HSA-8964572,Metabolism,Metabolism of lipids,Lipid particle organization,,,,,,
K1_string_819,R-HSA-71336,Metabolism,Metabolism of carbohydrates,Pentose phosphate pathway,,,,,,
K1_string_820,R-HSA-71291,Metabolism,Metabolism of amino acids and derivatives,,,,,,,
K1_string_826,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_string_827,R-HSA-427975,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Proton/oligopeptide cotransporters,,,,,
K1_string_829,R-HSA-6805567,Developmental Biology,Keratinization,,,,,,,
K1_string_830,R-HSA-9662361,Sensory Perception,Sensory processing of sound,Sensory processing of sound by outer hair cells of the cochlea,,,,,,
K1_string_832,R-HSA-435368,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of bile salts and organic acids, metal ions and amine compounds",Metal ion SLC transporters,Zinc transporters,Zinc efflux and compartmentalization by the SLC30 family,,,
K1_string_837,R-HSA-425407,Transport of small molecules,SLC-mediated transmembrane transport,,,,,,,
K1_string_838,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
K1_string_839,R-HSA-420029,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Tight junction interactions,,,,,
K1_string_844,R-HSA-1461957,Immune System,Innate Immune System,Antimicrobial peptides,Defensins,Beta defensins,,,,
K1_string_849,R-HSA-139853,Hemostasis,Platelet homeostasis,Platelet calcium homeostasis,Elevation of cytosolic Ca2+ levels,,,,,
K1_string_853,R-HSA-5083636,Disease,Diseases of metabolism,Diseases of glycosylation,Diseases associated with O-glycosylation of proteins,Defective GALNT12 causes CRCS1,,,,
K1_string_856,R-HSA-2142700,Metabolism,Metabolism of lipids,Biosynthesis of specialized proresolving mediators (SPMs),Biosynthesis of Lipoxins (LX),,,,,
K1_string_858,R-HSA-375281,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Hormone ligand-binding receptors,,,,
K1_string_863,R-HSA-629594,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Acetylcholine binding and downstream events,Postsynaptic nicotinic acetylcholine receptors,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,,,
M1_cpdb_1,R-HSA-5368287,Metabolism of proteins,Translation,Mitochondrial translation,,,,,,
M1_cpdb_4,R-HSA-201451,Signal Transduction,Signaling by TGFB family members,Signaling by BMP,,,,,,
M1_cpdb_6,R-HSA-1428517,Metabolism,Aerobic respiration and respiratory electron transport,,,,,,,
M1_cpdb_7,R-HSA-383280,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Nuclear Receptor transcription pathway,,,,,
M1_cpdb_8,R-HSA-140877,Hemostasis,Formation of Fibrin Clot (Clotting Cascade),,,,,,,
M1_cpdb_9,R-HSA-983168,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing: Ubiquitination & Proteasome degradation,,,,,
M1_cpdb_10,R-HSA-68952,Cell Cycle,"Cell Cycle, Mitotic",S Phase,Synthesis of DNA,DNA replication initiation,,,,
M1_cpdb_11,R-HSA-1632852,Autophagy,Macroautophagy,,,,,,,
M1_cpdb_12,R-HSA-8939242,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,,,,
M1_cpdb_13,R-HSA-156902,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,Peptide chain elongation,,,,,
M1_cpdb_14,R-HSA-5632681,Signal Transduction,Signaling by Hedgehog,Hedgehog 'on' state,Ligand-receptor interactions,,,,,
M1_cpdb_15,R-HSA-168898,Immune System,Innate Immune System,Toll-like Receptor Cascades,,,,,,
M1_cpdb_16,R-HSA-9648895,Cellular responses to stimuli,Cellular responses to stress,Response of EIF2AK1 (HRI) to heme deficiency,,,,,,
M1_cpdb_17,R-HSA-3214847,Chromatin organization,Chromatin modifying enzymes,HATs acetylate histones,,,,,,
M1_cpdb_19,R-HSA-9013148,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,CDC42 GTPase cycle,,,,
M1_cpdb_20,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_cpdb_21,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
M1_cpdb_22,R-HSA-418594,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (i) signalling events,,,,,
M1_cpdb_23,R-HSA-8873719,Metabolism of proteins,Post-translational protein modification,RAB geranylgeranylation,,,,,,
M1_cpdb_24,R-HSA-3108232,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,,,,,
M1_cpdb_25,R-HSA-211733,Programmed Cell Death,Apoptosis,Regulation of Apoptosis,Regulation of activated PAK-2p34 by proteasome mediated degradation,,,,,
M1_cpdb_27,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
M1_cpdb_28,R-HSA-171306,Cell Cycle,Chromosome Maintenance,Telomere Maintenance,Packaging Of Telomere Ends,,,,,
M1_cpdb_29,R-HSA-421270,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,,,,,,
M1_cpdb_30,R-HSA-9696270,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RND2 GTPase cycle,,,,
M1_cpdb_31,R-HSA-5389840,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation elongation,,,,,
M1_cpdb_32,R-HSA-264876,Metabolism of proteins,Peptide hormone metabolism,Insulin processing,,,,,,
M1_cpdb_33,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
M1_cpdb_34,R-HSA-211859,Metabolism,Biological oxidations,,,,,,,
M1_cpdb_36,R-HSA-164940,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,Host Interactions of HIV factors,The role of Nef in HIV-1 replication and disease pathogenesis,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,Nef mediated downregulation of MHC class I complex cell surface expression,
M1_cpdb_37,R-HSA-901032,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Calnexin/calreticulin cycle,ER Quality Control Compartment (ERQC),,,
M1_cpdb_39,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
M1_cpdb_40,R-HSA-3238698,Signal Transduction,Signaling by WNT,WNT ligand biogenesis and trafficking,,,,,,
M1_cpdb_41,R-HSA-74217,Metabolism,Metabolism of nucleotides,Nucleotide salvage,Purine salvage,,,,,
M1_cpdb_43,R-HSA-141424,Cell Cycle,Cell Cycle Checkpoints,Mitotic Spindle Checkpoint,Amplification of signal from the kinetochores,,,,,
M1_cpdb_45,R-HSA-2028269,Signal Transduction,Signaling by Hippo,,,,,,,
M1_cpdb_46,R-HSA-6811438,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Intra-Golgi traffic,,,,,
M1_cpdb_47,R-HSA-429958,Metabolism of RNA,Deadenylation-dependent mRNA decay,mRNA decay by 3' to 5' exoribonuclease,,,,,,
M1_cpdb_48,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_cpdb_49,R-HSA-445095,Developmental Biology,Nervous system development,Axon guidance,L1CAM interactions,Interaction between L1 and Ankyrins,,,,
M1_cpdb_51,R-HSA-975956,Metabolism of RNA,Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,,,,,
M1_cpdb_53,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
M1_cpdb_54,R-HSA-425393,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,,,,,,
M1_cpdb_55,R-HSA-77387,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by Insulin receptor,Insulin receptor recycling,,,,,
M1_cpdb_56,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_cpdb_57,R-HSA-912631,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,"Interleukin-3, Interleukin-5 and GM-CSF signaling",Regulation of signaling by CBL,,,,
M1_cpdb_58,R-HSA-2022090,Extracellular matrix organization,Collagen formation,Assembly of collagen fibrils and other multimeric structures,,,,,,
M1_cpdb_59,R-HSA-6782315,Metabolism of RNA,tRNA processing,tRNA modification in the nucleus and cytosol,,,,,,
M1_cpdb_61,R-HSA-111453,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,,,,
M1_cpdb_63,R-HSA-4641265,Signal Transduction,Signaling by WNT,Degradation of beta-catenin by the destruction complex,Repression of WNT target genes,,,,,
M1_cpdb_64,R-HSA-6803207,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by TP53,TP53 Regulates Transcription of Cell Death Genes,TP53 Regulates Transcription of Caspase Activators and Caspases,,,
M1_cpdb_66,R-HSA-73780,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Chain Elongation,,,,,,
M1_cpdb_67,R-HSA-3000157,Extracellular matrix organization,Laminin interactions,,,,,,,
M1_cpdb_69,R-HSA-139853,Hemostasis,Platelet homeostasis,Platelet calcium homeostasis,Elevation of cytosolic Ca2+ levels,,,,,
M1_cpdb_70,R-HSA-6807505,Gene expression (Transcription),RNA Polymerase II Transcription,RNA polymerase II transcribes snRNA genes,,,,,,
M1_cpdb_71,R-HSA-1482922,Metabolism,Metabolism of lipids,Phospholipid metabolism,Glycerophospholipid biosynthesis,Acyl chain remodelling of PI,,,,
M1_cpdb_72,R-HSA-3769402,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Deactivation of the beta-catenin transactivating complex,,,,,
M1_cpdb_73,R-HSA-442982,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Activation of NMDA receptors and postsynaptic events,Post NMDA receptor activation events,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Ras activation upon Ca2+ influx through NMDA receptor,,
M1_cpdb_75,R-HSA-8963899,Transport of small molecules,"Plasma lipoprotein assembly, remodeling, and clearance",Plasma lipoprotein remodeling,,,,,,
M1_cpdb_76,R-HSA-1566948,Extracellular matrix organization,Elastic fibre formation,,,,,,,
M1_cpdb_77,R-HSA-68962,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G1/S Transition,Activation of the pre-replicative complex,,,,
M1_cpdb_78,R-HSA-6802948,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Oncogenic MAPK signaling,Signaling by high-kinase activity BRAF mutants,,,,,
M1_cpdb_79,R-HSA-982772,Immune System,Cytokine Signaling in Immune system,Growth hormone receptor signaling,,,,,,
M1_cpdb_80,R-HSA-9652817,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Oncogenic MAPK signaling,Signaling by MAPK mutants,,,,,
M1_cpdb_81,R-HSA-9843745,Developmental Biology,Adipogenesis,,,,,,,
