module,KEGG_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway
K1_string_639,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_string_640,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_string_643,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
K1_string_646,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
K1_string_654,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
K1_string_664,hsa01230,,,Biosynthesis of amino acids
K1_string_673,hsa04140,Cellular Processes,Transport and catabolism,Autophagy - animal
K1_string_682,hsa00524,Metabolism,Biosynthesis of other secondary metabolites,"Neomycin, kanamycin and gentamicin biosynthesis"
K1_string_687,hsa05202,Human Diseases,Cancer: overview,Transcriptional misregulation in cancer
K1_string_692,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_string_697,hsa03410,Genetic Information Processing,Replication and repair,Base excision repair
K1_string_707,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
K1_string_711,hsa00790,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
K1_string_716,hsa04625,Organismal Systems,Immune system,C-type lectin receptor signaling pathway
K1_string_724,hsa00785,Metabolism,Metabolism of cofactors and vitamins,Lipoic acid metabolism
K1_string_726,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
K1_string_728,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
K1_string_734,hsa00650,Metabolism,Carbohydrate metabolism,Butanoate metabolism
K1_string_736,hsa00532,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
K1_string_741,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
K1_string_744,hsa04270,Organismal Systems,Circulatory system,Vascular smooth muscle contraction
K1_string_753,hsa00534,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
K1_string_758,hsa00514,Metabolism,Glycan biosynthesis and metabolism,Other types of O-glycan biosynthesis
K1_string_763,hsa00010,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K1_string_764,hsa04926,Organismal Systems,Endocrine system,Relaxin signaling pathway
K1_string_771,hsa00515,Metabolism,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
K1_string_778,hsa00620,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
K1_string_788,hsa04260,Organismal Systems,Circulatory system,Cardiac muscle contraction
K1_string_804,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
K1_string_807,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
K1_string_815,hsa00601,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series
K1_string_816,hsa04923,Organismal Systems,Endocrine system,Regulation of lipolysis in adipocytes
K1_string_819,hsa00030,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
K1_string_822,hsa00534,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
K1_string_823,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
K1_string_849,hsa04020,Environmental Information Processing,Signal transduction,Calcium signaling pathway
K1_string_851,hsa04742,Organismal Systems,Sensory system,Taste transduction
K1_string_862,hsa00604,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - ganglio series
K1_string_870,hsa00601,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - lacto and neolacto series
M1_cpdb_3,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_cpdb_4,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
M1_cpdb_6,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
M1_cpdb_8,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
M1_cpdb_10,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
M1_cpdb_11,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
M1_cpdb_12,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_cpdb_14,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
M1_cpdb_15,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
M1_cpdb_17,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_cpdb_20,hsa03040,Genetic Information Processing,Transcription,Spliceosome
M1_cpdb_21,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_cpdb_22,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_cpdb_24,hsa01522,Human Diseases,Drug resistance: antineoplastic,Endocrine resistance
M1_cpdb_25,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
M1_cpdb_28,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
M1_cpdb_29,hsa04530,Cellular Processes,Cellular community - eukaryotes,Tight junction
M1_cpdb_34,hsa01240,,,Biosynthesis of cofactors
M1_cpdb_35,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
M1_cpdb_36,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_cpdb_37,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_cpdb_39,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
M1_cpdb_40,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
M1_cpdb_41,hsa00230,Metabolism,Nucleotide metabolism,Purine metabolism
M1_cpdb_45,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
M1_cpdb_46,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
M1_cpdb_47,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
M1_cpdb_48,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_cpdb_52,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
M1_cpdb_55,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
M1_cpdb_57,hsa04012,Environmental Information Processing,Signal transduction,ErbB signaling pathway
M1_cpdb_58,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
M1_cpdb_59,hsa04530,Cellular Processes,Cellular community - eukaryotes,Tight junction
M1_cpdb_61,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
M1_cpdb_63,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
M1_cpdb_64,hsa04621,Organismal Systems,Immune system,NOD-like receptor signaling pathway
M1_cpdb_66,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
M1_cpdb_68,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
M1_cpdb_71,hsa00592,Metabolism,Lipid metabolism,alpha-Linolenic acid metabolism
M1_cpdb_73,hsa05031,Human Diseases,Substance dependence,Amphetamine addiction
M1_cpdb_74,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
M1_cpdb_75,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
M1_cpdb_78,hsa05213,Human Diseases,Cancer: specific types,Endometrial cancer
M1_cpdb_79,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
M1_cpdb_85,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_cpdb_87,hsa04114,Cellular Processes,Cell growth and death,Oocyte meiosis
M1_cpdb_89,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
M1_cpdb_90,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
M1_cpdb_91,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
M1_cpdb_92,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_cpdb_94,hsa03250,Genetic Information Processing,Information processing in viruses,Viral life cycle - HIV-1
M1_cpdb_95,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
M1_cpdb_99,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_cpdb_101,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_cpdb_102,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
M1_cpdb_105,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
M1_cpdb_109,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
M1_cpdb_110,hsa03450,Genetic Information Processing,Replication and repair,Non-homologous end-joining
M1_cpdb_112,hsa04910,Organismal Systems,Endocrine system,Insulin signaling pathway
M1_cpdb_115,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_cpdb_117,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_cpdb_118,hsa04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
M1_cpdb_119,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_cpdb_120,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
M1_cpdb_121,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
M1_cpdb_122,hsa00130,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
M1_cpdb_123,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
M1_cpdb_125,hsa05320,Human Diseases,Immune disease,Autoimmune thyroid disease
M1_cpdb_126,hsa04218,Cellular Processes,Cell growth and death,Cellular senescence
M1_cpdb_131,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_cpdb_132,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_cpdb_134,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_cpdb_137,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_cpdb_138,hsa05130,Human Diseases,Infectious disease: bacterial,Pathogenic Escherichia coli infection
M1_cpdb_139,hsa05218,Human Diseases,Cancer: specific types,Melanoma
M1_cpdb_142,hsa04722,Organismal Systems,Nervous system,Neurotrophin signaling pathway
M1_cpdb_144,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_cpdb_148,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
M1_cpdb_151,hsa04920,Organismal Systems,Endocrine system,Adipocytokine signaling pathway
M1_cpdb_153,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
M1_cpdb_156,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
M1_cpdb_158,hsa04015,Environmental Information Processing,Signal transduction,Rap1 signaling pathway
M1_cpdb_159,hsa05132,Human Diseases,Infectious disease: bacterial,Salmonella infection
M1_cpdb_161,hsa05321,Human Diseases,Immune disease,Inflammatory bowel disease
M1_cpdb_162,hsa01230,,,Biosynthesis of amino acids
M1_cpdb_163,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
M1_cpdb_165,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
M1_cpdb_167,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_cpdb_168,hsa00561,Metabolism,Lipid metabolism,Glycerolipid metabolism
M1_cpdb_169,hsa04122,Genetic Information Processing,"Folding, sorting and degradation",Sulfur relay system
M1_cpdb_172,hsa00515,Metabolism,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
M1_cpdb_174,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_cpdb_177,hsa04668,Environmental Information Processing,Signal transduction,TNF signaling pathway
M1_cpdb_179,hsa01200,,,Carbon metabolism
M1_cpdb_182,hsa00900,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis
M1_cpdb_184,hsa00450,Metabolism,Metabolism of other amino acids,Selenocompound metabolism
M1_cpdb_187,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
M1_cpdb_195,hsa00524,Metabolism,Biosynthesis of other secondary metabolites,"Neomycin, kanamycin and gentamicin biosynthesis"
M1_cpdb_198,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
M1_cpdb_199,hsa04922,Organismal Systems,Endocrine system,Glucagon signaling pathway
M1_cpdb_201,hsa04114,Cellular Processes,Cell growth and death,Oocyte meiosis
M1_cpdb_202,hsa04970,Organismal Systems,Digestive system,Salivary secretion
M1_cpdb_203,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
M1_cpdb_205,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
M1_cpdb_211,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
M1_cpdb_212,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
M1_cpdb_213,hsa00030,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
M1_cpdb_220,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
M1_cpdb_221,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_cpdb_223,hsa00533,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - keratan sulfate
M1_cpdb_226,hsa04614,Organismal Systems,Endocrine system,Renin-angiotensin system
M1_cpdb_229,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
M1_cpdb_230,hsa05412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy
M1_cpdb_238,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
M1_cpdb_243,hsa00052,Metabolism,Carbohydrate metabolism,Galactose metabolism
M1_cpdb_250,hsa04929,Organismal Systems,Endocrine system,GnRH secretion
M1_cpdb_253,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
M1_cpdb_255,hsa04660,Organismal Systems,Immune system,T cell receptor signaling pathway
M1_cpdb_258,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
M1_cpdb_260,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
M1_cpdb_261,hsa04923,Organismal Systems,Endocrine system,Regulation of lipolysis in adipocytes
M1_cpdb_262,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
M1_cpdb_270,hsa04260,Organismal Systems,Circulatory system,Cardiac muscle contraction
M1_cpdb_271,hsa04657,Organismal Systems,Immune system,IL-17 signaling pathway
M1_cpdb_273,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
M1_cpdb_279,hsa04662,Organismal Systems,Immune system,B cell receptor signaling pathway
M1_cpdb_282,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
M1_cpdb_288,hsa04918,Organismal Systems,Endocrine system,Thyroid hormone synthesis
M1_cpdb_293,hsa04622,Organismal Systems,Immune system,RIG-I-like receptor signaling pathway
M1_cpdb_294,hsa00790,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
M1_cpdb_295,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_cpdb_296,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_cpdb_298,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
M1_cpdb_304,hsa04921,Organismal Systems,Endocrine system,Oxytocin signaling pathway
M1_cpdb_309,hsa04950,Human Diseases,Endocrine and metabolic disease,Maturity onset diabetes of the young
M1_cpdb_317,hsa04730,Organismal Systems,Nervous system,Long-term depression
M1_cpdb_318,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_cpdb_320,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
M1_cpdb_325,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_cpdb_327,hsa04961,Organismal Systems,Excretory system,Endocrine and other factor-regulated calcium reabsorption
M1_cpdb_328,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
M1_cpdb_333,hsa05340,Human Diseases,Immune disease,Primary immunodeficiency
M1_cpdb_339,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
M1_cpdb_344,hsa05330,Human Diseases,Immune disease,Allograft rejection
M1_cpdb_348,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_cpdb_350,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
M1_cpdb_351,hsa04666,Organismal Systems,Immune system,Fc gamma R-mediated phagocytosis
M1_cpdb_352,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
M1_cpdb_353,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
M1_cpdb_360,hsa05204,Human Diseases,Cancer: overview,Chemical carcinogenesis - DNA adducts
M1_cpdb_365,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
M1_cpdb_381,hsa00280,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation"
M1_cpdb_382,hsa04666,Organismal Systems,Immune system,Fc gamma R-mediated phagocytosis
M1_cpdb_384,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_cpdb_390,hsa04972,Organismal Systems,Digestive system,Pancreatic secretion
M1_cpdb_402,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_cpdb_403,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_cpdb_404,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
M1_cpdb_409,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
M1_cpdb_410,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
M1_cpdb_419,hsa00360,Metabolism,Amino acid metabolism,Phenylalanine metabolism
M1_cpdb_440,hsa04962,Organismal Systems,Excretory system,Vasopressin-regulated water reabsorption
M1_cpdb_441,hsa04218,Cellular Processes,Cell growth and death,Cellular senescence
M1_cpdb_442,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
M1_cpdb_444,hsa04510,Cellular Processes,Cellular community - eukaryotes,Focal adhesion
M1_cpdb_446,hsa04744,Organismal Systems,Sensory system,Phototransduction
M1_cpdb_456,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_cpdb_475,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
M1_cpdb_479,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
M1_cpdb_481,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_cpdb_486,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_cpdb_488,hsa00051,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
M1_cpdb_499,hsa03430,Genetic Information Processing,Replication and repair,Mismatch repair
M1_cpdb_506,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
M1_cpdb_518,hsa05226,Human Diseases,Cancer: specific types,Gastric cancer
M1_cpdb_519,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
M1_cpdb_530,hsa04975,Organismal Systems,Digestive system,Fat digestion and absorption
M1_cpdb_538,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_cpdb_544,hsa00280,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation"
M1_cpdb_556,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
M1_cpdb_559,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_cpdb_560,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_cpdb_562,hsa01230,,,Biosynthesis of amino acids
M1_cpdb_573,hsa00564,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
M1_cpdb_604,hsa04066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway
M1_cpdb_611,hsa04926,Organismal Systems,Endocrine system,Relaxin signaling pathway
M1_cpdb_635,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
M1_cpdb_660,hsa00053,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism
M1_cpdb_683,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_cpdb_684,hsa01210,,,2-Oxocarboxylic acid metabolism
M1_humanbase_1,hsa04612,Organismal Systems,Immune system,Antigen processing and presentation
M1_humanbase_2,hsa00190,Metabolism,Energy metabolism,Oxidative phosphorylation
M1_humanbase_3,hsa03040,Genetic Information Processing,Transcription,Spliceosome
M1_humanbase_5,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
M1_humanbase_8,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
M1_humanbase_10,hsa04657,Organismal Systems,Immune system,IL-17 signaling pathway
M1_humanbase_11,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_humanbase_12,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
M1_humanbase_15,hsa05160,Human Diseases,Infectious disease: viral,Hepatitis C
M1_humanbase_17,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_humanbase_24,hsa05235,Human Diseases,Cancer: overview,PD-L1 expression and PD-1 checkpoint pathway in cancer
M1_humanbase_25,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_humanbase_26,hsa05130,Human Diseases,Infectious disease: bacterial,Pathogenic Escherichia coli infection
M1_humanbase_31,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
M1_humanbase_34,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
M1_humanbase_39,hsa05310,Human Diseases,Immune disease,Asthma
M1_humanbase_41,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
M1_humanbase_53,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
M1_humanbase_72,hsa05146,Human Diseases,Infectious disease: parasitic,Amoebiasis
M1_humanbase_82,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
M1_humanbase_88,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
M1_humanbase_98,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
M1_humanbase_100,hsa04062,Organismal Systems,Immune system,Chemokine signaling pathway
M1_humanbase_102,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
M1_humanbase_121,hsa05412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy
M1_humanbase_130,hsa04140,Cellular Processes,Transport and catabolism,Autophagy - animal
M1_humanbase_132,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
M1_humanbase_149,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
M1_humanbase_157,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
M1_humanbase_164,hsa03040,Genetic Information Processing,Transcription,Spliceosome
M1_humanbase_176,hsa00514,Metabolism,Glycan biosynthesis and metabolism,Other types of O-glycan biosynthesis
M1_humanbase_179,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
M1_humanbase_210,hsa05130,Human Diseases,Infectious disease: bacterial,Pathogenic Escherichia coli infection
M1_humanbase_233,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
M1_humanbase_274,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
M1_humanbase_278,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_humanbase_290,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
M1_humanbase_320,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_humanbase_331,hsa00030,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
M1_humanbase_332,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
M1_humanbase_343,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
M1_humanbase_376,hsa05220,Human Diseases,Cancer: specific types,Chronic myeloid leukemia
M1_humanbase_385,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_humanbase_388,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
M1_humanbase_389,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
M1_humanbase_398,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_humanbase_418,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
M1_humanbase_444,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_humanbase_452,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
M1_humanbase_480,hsa04012,Environmental Information Processing,Signal transduction,ErbB signaling pathway
M1_humanbase_494,hsa04622,Organismal Systems,Immune system,RIG-I-like receptor signaling pathway
M1_humanbase_535,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
M1_humanbase_575,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
M1_humanbase_578,hsa04658,Organismal Systems,Immune system,Th1 and Th2 cell differentiation
M1_humanbase_594,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
M1_humanbase_605,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
M1_string_1,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
M1_string_5,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
M1_string_6,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_string_7,hsa04136,Cellular Processes,Transport and catabolism,Autophagy - other
M1_string_8,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
M1_string_10,hsa03008,Genetic Information Processing,Translation,Ribosome biogenesis in eukaryotes
M1_string_11,hsa00561,Metabolism,Lipid metabolism,Glycerolipid metabolism
M1_string_12,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
M1_string_13,hsa04392,Environmental Information Processing,Signal transduction,Hippo signaling pathway - multiple species
M1_string_15,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
M1_string_17,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
M1_string_18,hsa00250,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism"
M1_string_19,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
M1_string_23,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_string_24,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_string_26,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
M1_string_27,hsa00562,Metabolism,Carbohydrate metabolism,Inositol phosphate metabolism
M1_string_28,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
M1_string_29,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_string_30,hsa03040,Genetic Information Processing,Transcription,Spliceosome
M1_string_31,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
M1_string_32,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
M1_string_33,hsa00140,Metabolism,Lipid metabolism,Steroid hormone biosynthesis
M1_string_35,hsa00565,Metabolism,Lipid metabolism,Ether lipid metabolism
M1_string_38,hsa00230,Metabolism,Nucleotide metabolism,Purine metabolism
M1_string_39,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
M1_string_40,hsa00071,Metabolism,Lipid metabolism,Fatty acid degradation
M1_string_42,hsa05217,Human Diseases,Cancer: specific types,Basal cell carcinoma
